id,song,artist,album,popularity,duration,emotion,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valance,tempo
1TQXIltqoZ5XXyfCbAeSQQ,Dancing With Your Ghost,Sasha Alex Sloan,Dancing With Your Ghost,81,197732,angry,0.629,0.328,11,-8.284,1,0.029,0.768,2.5e-05,0.103,0.389,74.953
5JRHt05AAj0rgw8yWArDw5,Stayin' Alive,Caravn,Stayin' Alive,47,186131,angry,0.655,0.496,5,-7.677,0,0.129,0.0755,0,0.363,0.211,90.142
1uVk6S6Fpkrmji0iTpgKEC,Long Way Down,Tom Odell,Long Way Down (Deluxe),59,149773,angry,0.368,0.121,6,-13.778,1,0.0315,0.972,0.0322,0.0871,0.0956,133.148
6isTQfKXhNO3EyJd9mSxx8,AM I DREAMING (feat. Miley Cyrus),Lil Nas X,MONTERO,69,183241,angry,0.629,0.445,3,-6.999,1,0.0258,0.77,2.92e-06,0.351,0.209,94.103
13HVjjWUZFaWilh2QUJKsP,Let It Go,James Bay,Chaos And The Calm,72,260533,angry,0.546,0.311,1,-10.396,1,0.0288,0.818,1.65e-05,0.107,0.246,147.464
6CoC7nWbj6JiebN7IbJ0Z8,Same Old Mess,INTRN,Same Old Mess,42,120000,angry,0.64,0.177,2,-14.649,1,0.0298,0.906,0.00329,0.134,0.678,90.081
1JDMO4EVPHtm0xXhJb2IjR,Youth,Daughter,The Wild Youth EP,0,251626,angry,0.588,0.477,9,-12.71,0,0.0492,0.61,0.00188,0.122,0.488,150.396
5I6y1KWmUoV5YCaIEcs1qs,Should Have Known Better,Sufjan Stevens,Carrie & Lowell,8,307697,angry,0.571,0.172,7,-20.7,1,0.0318,0.979,0.275,0.124,0.297,90.972
5cCj78DPk9iVZmrNWmYdPS,Say Something,Caravn,Say Something,14,221007,angry,0.536,0.165,1,-14.658,1,0.0338,0.608,0,0.11,0.15,138.758
6QPKYGnAW9QozVz2dSWqRg,Someone Like You,Adele,21,5,285240,angry,0.554,0.321,9,-8.251,1,0.028,0.893,0,0.0996,0.288,135.047
3H7oAhHxkEkSf9iomv2mbG,could cry just thinkin about you - Full Version,Troye Sivan,could cry just thinkin about you (Full Version),68,158000,angry,0.515,0.323,6,-11.05,1,0.0429,0.318,0,0.106,0.188,147.972
1u71gNzUwTjgfYmArCUD0m,Friendly Fire,Holly Humberstone,The Walls Are Way Too Thin,55,222800,angry,0.465,0.602,10,-9.664,1,0.078,0.806,0.00145,0.101,0.595,159.905
0W293G8NUJ55E29jH2NNUQ,Velvet Gun,LEFT.,Perspective,21,186000,angry,0.59,0.658,7,-7.19,1,0.0539,0.112,0.000218,0.115,0.444,154.926
4NVwMupCTfITPXetR5aozp,pass you by,Alaina Castillo,the voicenotes,52,245945,angry,0.51,0.355,11,-6.883,1,0.0287,0.892,0,0.133,0.453,141.796
3PJikMV2xGNCooQttQrAw5,Transatlanticism,Death Cab for Cutie,Transatlanticism,0,475093,angry,0.443,0.466,9,-9.209,1,0.0302,0.393,0.647,0.165,0.19,127.493
0PKAijroHpnEtdY20bkGdr,ghost town (voice memo),Chloe George,ghost town (voice memo),70,137250,angry,0.471,0.229,8,-6.504,1,0.0358,0.953,0,0.0909,0.358,68.41
4XCnRvggQILzbtbV0VzgFU,I Will Survive,High Tropics,love 2.0,28,227554,angry,0.491,0.815,11,-6.502,0,0.0577,0.215,1.23e-05,0.224,0.49,93.978
6XRNCAnxJIB1p4RPdFVSq0,People Help the People,Birdy,Birdy (Deluxe Version),57,256236,angry,0.407,0.308,10,-9.001,0,0.0296,0.778,1.46e-05,0.092,0.153,73.254
6P57z7wZlYxmNxXCihQSwn,Foreign tree,Liush,Foreign tree,28,205181,angry,0.274,0.182,9,-16.843,1,0.033,0.818,0.0688,0.153,0.0973,156.763
1nYzjrdVQ8RpF93M0jPFW7,Remember That Night?,Sara Kays,Remember That Night?,79,227186,angry,0.679,0.61,7,-10.936,0,0.0305,0.585,9.51e-05,0.156,0.554,123.978
3L769KtCDRPoektqIEqQ5j,Lost in a City,Paul the Neighbour,Lost in a City,32,223500,angry,0.335,0.512,1,-11.304,1,0.0404,0.0455,2.72e-05,0.127,0.209,124.873
13CVSGLSFl4UxpDVR6u3dq,Strangers By Nature,Adele,30,72,182163,angry,0.387,0.253,5,-8.901,1,0.0336,0.798,0.000159,0.0848,0.134,68.004
7aroxbyBcFzfmsjdRBV6cT,Julia,little dipper,Julia,34,207630,angry,0.621,0.627,7,-8.114,1,0.0383,0.587,0,0.099,0.37,131.086
2yoaXLItTfWNpdFFpdF3Ti,June,Florence + The Machine,High As Hope,54,221973,angry,0.363,0.362,5,-8.516,1,0.0339,0.28,2.03e-06,0.142,0.179,146.104
6DzvC1VHpyTFfLBbAYBa7W,Bird,Billie Marten,Writing of Blues and Yellows (Deluxe Version),51,220640,angry,0.235,0.187,6,-12.754,1,0.0347,0.988,0.00197,0.106,0.118,85.962
